,Dokumen1,Dokumen2,Dokumen3,Dokumen4,Dokumen5
juluk,0.0,0.0,0.0,0.005708138546059346,0.0
jumat,0.10703173649144487,0.00953890662373093,0.01845855178311895,0.043519337626157,0.12361991743500785
kabung,0.0,0.0,0.0,0.005708138546059346,0.0
kacau,0.0249575686087148,0.0,0.0,0.0,0.0
kaisar,0.0,0.0,0.0,0.005708138546059346,0.0
kaisarmenghimpun,0.0,0.0,0.0,0.005708138546059346,0.0
kait,0.0,0.01615077285559461,0.0,0.00921058047519551,0.0
kaki,0.0,0.42038779988140657,0.0,0.0,0.0
kalender,0.15042937109895313,0.02681320085831135,0.0,0.12615262803318134,0.0
kali,0.023784830331432194,0.00953890662373093,0.01845855178311895,0.0217596688130785,0.010301659786250654
kalimat,0.0,0.0,0.0,0.005708138546059346,0.0
kalvari,0.0249575686087148,0.0,0.0,0.0,0.0
kamis,0.0,0.20996004712272995,0.0,0.02763174142558653,0.0
kanan,0.04027121841576109,0.0,0.0,0.004605290237597755,0.0
kanon,0.0,0.0,0.0,0.005708138546059346,0.0
kanonik,0.0,0.0,0.0,0.0,0.06485756946331116
kapel,0.0,0.0,0.0,0.01712441563817804,0.0
kapela,0.0,0.0,0.0,0.011416277092118692,0.0
karel,0.0,0.0,0.0,0.005708138546059346,0.0
kartu,0.0,0.0,0.0,0.011416277092118692,0.0
karunia,0.0,0.02001846666101936,0.0,0.0,0.0
karya,0.0,0.0,0.0,0.0,0.04323837964220743
kasihan,0.0,0.02001846666101936,0.0,0.0,0.0
kati,0.0,0.0,0.0,0.022832554184237384,0.0
katolik,0.0,0.033834164788445156,0.021823943680379022,0.038590388259599755,0.1461584932324986
kaum,0.0,0.0,0.0,0.011416277092118692,0.0
kaya,0.0,0.02001846666101936,0.0,0.0,0.0
kayafas,0.0249575686087148,0.0,0.0,0.0,0.0
kayu,0.028121317625538985,0.022556109858963436,0.021823943680379022,0.006431731376599959,0.0
kecuali,0.0,0.01615077285559461,0.0,0.004605290237597755,0.0
keikutsertaan,0.0,0.0,0.038737343603070074,0.0,0.0
keju,0.0,0.0,0.0,0.005708138546059346,0.0
kel,0.0,0.02001846666101936,0.0,0.0,0.0
keledai,0.0,0.0,0.0,0.005708138546059346,0.0
keliling,0.0249575686087148,0.0,0.0,0.0,0.0
kelinci,0.0,0.0,0.0,0.01712441563817804,0.0
kelompok,0.020135609207880545,0.0,0.0,0.013815870712793265,0.0
keltik,0.0,0.0,0.0,0.011416277092118692,0.0
keluarga,0.0,0.0,0.0,0.005708138546059346,0.0
kena,0.05014312369965104,0.0,0.0,0.007645613820192807,0.014478623385176305
